Cultivo;Buenos aires;Cordoba;Santa Fe;Entre Rios;La Pampa;Chaco;Misiones;Corrientes;Formosas;Tucuman;Salta;Santiago del Estero;Jujuy;Catamarca;La Rioja;Mendoza;San Juan;San Luis;Rio Negro;Neuquén;Chubut;Santa Cruz;Tierra del fuego
Lechuga fresca;14.68526349;14.8626699;14.757421;14.98452413;14.67128856;13.50353339;15.40500004;12.73988751;12.28646782;14.31283399;13.15432877;14.58270284;12.35883257;12.33783996;12.23020267;12.48584786;12.30649073;14.32882846;11.35166674;11.66606323;10.17216726;9.093728672;7.27332897
Limón;13.98326928;0;14.84482726;25.0658457;0;0;26.79004486;34.64530707;0;46.59649521;31.16032374;0;35.10464641;19.31482636;0;0;0;0;0;0;0;0;0
Mandarina;5.87156544;0;6.233333061;15.3811027;0;0;13.5787851;15.89443535;0;10.21070736;10.6452598;7.573753525;14.38418051;13.28855127;0;0;0;0;0;0;0;0;0
Manzana;17.678174;5.983750407;11.51902309;9.42255929;0;0;7.089046289;0;0;12.25122297;23.628257;0;25.98614845;25.72606318;31.60137078;45.57416518;37.41416439;13.37854778;62.17966777;56.09072026;31.89456754;27.01547622;0
Melón fresco;0;0;0;6.046857971;0;0;0;0;0;0;0;10.76096477;0;0;0;11.36240201;14.92842211;0;0;0;0;0;0
Naranja;14.23877737;0;11.36882425;20.36531637;0;0;16.31428567;21.54816453;0;16.57525134;17.79519688;9.563479566;20.58906767;17.5377715;0;0;0;0;0;0;0;0;0
Palta fresca;0;0;0;0;0;0;10.03957866;4.016129024;6.825651416;13.34066748;10.26088854;3.409674828;13.35905032;4.190615584;0;0;0;0;0;0;0;0;0
Pelón fresco;9.242356918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.63997593;16.16955067;0;24.76574866;20.59967915;0;0;0
Pepino fresco;22.96151345;23.14152298;23.03472974;23.26516521;22.94733347;21.76244356;23.69181085;20.98759254;20.52751972;22.58361921;21.40811499;22.85744791;20.60094629;20.57964566;20.47042898;20.72982531;20.54783643;22.59984837;19.5790021;19.8980118;18.38219556;17.2879328;15.44082197
Pera;11.44658779;0.654251185;0;0;0;0;0;0;0;1.499526892;17.53401277;0;8.501154699;8.599219594;18.69817166;35.03596455;23.01188356;6.601253304;47.13784613;39.58120533;15.49495592;3.67840667;0
Pomelo fresco;15.32858125;0;10.49827858;26.64126525;0;2.60146309;28.59077265;25.11000478;29.5445261;17.36680858;29.28264293;9.70077935;28.22082443;14.83364984;0;0;3.246526237;0;0;0;0;0;0
Rabanitos;8.088388739;8.255532988;8.156372258;8.370338507;8.075222196;6.975016372;8.766491784;6.255543945;5.828352532;7.737502598;6.646011662;7.991760761;5.896531307;5.876753027;5.775342064;6.016199345;5.847217208;7.75257186;4.947625464;5.243835542;3.836354688;2.820298886;1.105201063
Radicheta, radicha, rúcula fresca;12.92434992;13.10043928;12.99597174;13.22138889;12.91047874;11.75139285;13.63874322;10.99341618;10.54336263;12.55468529;11.40478068;12.82255067;10.61519015;10.59435339;10.48751518;10.7412625;10.56323689;12.57056102;9.615501405;9.927563853;8.444758393;7.374326006;5.56744074
Remolacha fresca;16.57368618;16.7520546;16.64623497;16.87456961;16.55963547;15.38554799;17.2973256;14.61776114;14.16188272;16.19923713;15.03444977;16.47056939;14.23463987;14.21353343;14.10531246;14.36234393;14.18201421;16.21531834;13.22201256;13.5381139;12.03611708;10.95183051;9.121559448
Repollo fresco;18.97217872;19.15136739;19.04506114;19.27444579;18.9580634;17.77857674;19.69914588;17.00725913;16.54928431;18.59600773;17.42586395;18.86858773;16.62237604;16.60117254;16.4924539;16.75066736;16.56950837;18.61216288;15.60509204;15.92264702;14.41374309;13.32447031;11.48578254
Sandia fresca;0;0;0;16.13893039;0;16.85528826;17.51218208;17.83385246;18.66538199;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tomate Cherry;37.75835462;37.9394314;37.83200499;38.0638067;37.74409056;36.55217555;38.49298188;35.77273051;35.30992997;37.37821987;36.1957462;37.65367208;35.38379188;35.36236495;35.25250074;35.51343501;35.33036713;37.39454526;34.35578867;34.67668975;33.15188639;32.05113585;30.19307367
Tomate redondo fresco;71.81839952;71.99990216;71.89222311;72.12456995;71.80410192;70.60938382;72.55475445;69.82810571;69.36421677;71.4373708;70.25211623;71.7134708;69.43825239;69.41677507;69.30665248;69.56820041;69.384702;71.45373457;68.40783157;68.72948733;67.201098;66.09775877;64.23532688
Uva fresca;0;0;0;0;0;0;0;0;0;0;3.66368152;0;0;4.181656421;4.65263987;4.033245604;6.320822616;0;0;0;0;0;0
Yerba mate;0;0;0;0;0;0;1.46049627;1.217444107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zanahoria fresca;31.73295466;31.91377765;31.80650181;32.03797862;31.71871059;30.52846619;32.46655226;29.75011362;29.28796175;31.35335272;30.17253641;31.62841885;29.36172013;29.34032324;29.23061301;29.49118155;29.30837027;31.36965522;28.33515779;28.65560909;27.1329429;26.03373518;24.17827729
Zapallitos frescos;41.77091176;41.95209836;41.8446068;42.07654908;41.75663905;40.5640012;42.50598454;39.78408345;39.32100224;41.39054648;40.20735569;41.66616574;39.39490895;39.37346903;39.26353818;39.5246307;39.3414518;41.40688176;38.3662823;38.687378;37.1616499;36.0602318;34.20104279
Zapallo fresco;41.77091176;41.95209836;41.8446068;42.07654908;41.75663905;40.5640012;42.50598454;39.78408345;39.32100224;41.39054648;40.20735569;41.66616574;39.39490895;39.37346903;39.26353818;39.5246307;39.3414518;41.40688176;38.3662823;38.687378;37.1616499;36.0602318;34.20104279
